url,address,neighborhood,rent,beds,baths,flexible_rooms,zip
https://www.renthop.com/listings/east-74th-street/3a/59293322,East 74th Street,"Upper East Side, Upper Manhattan, Manhattan",1950,1,1.0,0,
https://www.renthop.com/listings/37-allen-st/4a/59545837,"37 Allen Street, Apt 4A","Chinatown, Downtown Manhattan, Manhattan",1750,1,1.0,0,10002
https://www.renthop.com/listings/536-east-89th-street-new-york-ny-10128/1a/59573009,"536 East 89th Street, Apt 1A","Yorkville, Upper East Side, Upper Manhattan, Manhattan",1597,0,1.0,0,10128
https://www.renthop.com/listings/no-fee-central-park-is-your-backyard-furnished/na/15246760,784 Columbus Avenue,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",1895,1,1.0,0,10025
https://www.renthop.com/listings/1-west-street/2515/58075678,1 West Street,"Financial District, Downtown Manhattan, Manhattan",1700,0,1.0,0,10004
https://www.renthop.com/listings/platt-street/3001/59525543,Platt Street,"Financial District, Downtown Manhattan, Manhattan",1795,0,1.0,1,
https://www.renthop.com/listings/e-81-street/3a/59000158,E 81 Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",1625,0,1.0,0,
https://www.renthop.com/listings/1-west-street/2515/58075678,1 West Street,"Financial District, Downtown Manhattan, Manhattan",1700,0,1.0,0,10004
https://www.renthop.com/listings/520-east-88th-street/1a/58391773,"520 East 88th Street, Apt 1A","Yorkville, Upper East Side, Upper Manhattan, Manhattan",1700,0,1.0,0,10128
https://www.renthop.com/listings/23-17-24th-street-astoria-ny-11105/2f/59618094,"23-17 24th Street, Apt 2F","Astoria, Northwestern Queens, Queens",2800,3,1.0,0,
https://www.renthop.com/listings/10th-avenue-west-58-st/na/59471670, 10th Avenue &west 58 st,"Hell's Kitchen, Midtown Manhattan, Manhattan",2265,1,1.0,0,
https://www.renthop.com/listings/2100-2nd-avenue/15/59618088,"2100 2nd Avenue, Apt 15","East Harlem, Upper Manhattan, Manhattan",1521,1,1.0,0,10029
https://www.renthop.com/listings/bond-street/717/15356936,Bond Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",2494,1,1.0,0,
